fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.584095698052264,0.8267369650711814,0.23225874423967613,2.1,0.11857719420298861,13.78663371910195,35.330594182024285,0.9980234273840073,3.2478663371910197,0.5831379534981229,9.161508255655502,3
7.264138144854974,0.9668506531134906,0.04820690724274873,2.0820690724274873,0.062016085895775716,19.163223379949407,46.788518932723434,0.9969872417534962,3.32434474205801,0.5547815806860035,9.71494243964376,3
8.780176528408193,0.6835853520176582,0.2916965261594375,1.9698103288496485,0.07630189671150352,7.698103288496484,26.858403774344236,0.9980377239461957,3.4226422533627634,0.6045284506725527,9.546700468982085,3
9.152679704826088,1.1918300737934782,0.25619215129630446,2.138816992620652,0.11254529464898906,6.940849631032609,23.750457195847833,0.9971045463542874,3.4029575184483694,0.4659888874551087,10.162477140207608,3
10.066139339302119,0.7226847126230587,0.4424058132498354,2.1643288218442356,0.06936274683975059,13.567117815576468,47.71342356311529,0.9994623308191588,3.271402706893459,0.562865764368847,9.249698247090352,3
7.462524132852545,1.3050482657050901,0.022912644524575834,2.1,0.10217278032264468,11.87379335737275,27.330115619660667,0.9958093991192255,3.412931950806612,0.4687379335737275,10.35009653141018,3
8.872272989915382,1.139248285636457,0.22264777323519186,2.1,0.16562614227309605,5.0,12.180682474788455,0.996868338097574,3.345509708367418,0.504508138457335,9.764041973289839,3
11.3658592351061,0.6385351912234749,0.6213667737925066,2.1941464808776527,0.07768771704707891,9.707324043882625,44.77566273350796,1.00044644744501,3.264633797805869,0.5600490174920092,9.111216863324602,3
7.293051318900387,1.1472023596495458,0.03069486810996129,4.310030503917213,0.10323564507904248,3.7722052756015483,12.069486810996128,0.9967981392425014,3.4386102637800775,0.4736676834639071,10.470271846460541,3
10.256405086148483,0.6158214154264129,0.47175956499723964,2.0883571691471743,0.19526524878651755,5.038809436176086,15.844762255295656,0.9992680479170013,3.1751356801086734,0.63,8.460154626072933,3
7.281070128391213,0.9700618174053867,0.05,2.4407376889581704,0.06298763651892265,18.390960913253082,45.68727246846223,0.9971474888387852,3.3185184422239544,0.5471605192586819,9.747324679021968,3
6.817474680873578,0.8030740496536453,0.025873734043678893,1.858737340436789,0.07467155070858196,8.741075887050151,19.244271987203966,0.9962055806915288,3.5030101276505685,0.6143367092168563,9.901052216302675,3
10.205788357549537,0.6772804618489104,0.4560129625711689,2.1,0.19563023804486457,5.0,15.514470893873842,0.9990781635639392,3.1835828422975565,0.6140469007987119,8.573403252187914,3
7.059688799449029,0.8634105298415959,0.046976659958677204,5.306965794628036,0.0815968879944902,3.30233400413228,13.798443997245148,0.9978703817571349,3.415116700206614,0.531085580151517,10.174805499655642,3
7.3783538503016635,0.97271126973938,0.06111531364744534,2.101822182565155,0.061236883733470145,19.817781743484502,48.9635563486969,0.9971183318461933,3.308906690460907,0.550364436513031,9.687244722043914,3
7.864440290116599,1.4883903280667494,0.046277050770404914,2.1,0.1429499065276234,5.0,9.661100725291499,0.9951982153379075,3.4678893933429844,0.42172188097386354,10.663892598110179,3
7.163398645316728,0.9082842887912825,0.05,4.558824384298885,0.07534314224174343,8.388884851921933,25.09476293042751,0.9977534969766189,3.371470609607472,0.5295097967975093,10.041503386708177,3
7.578643405461931,1.5372868109238627,0.0035594324230114496,2.1,0.1315896627170225,6.067829726903435,11.847545938409159,0.994923022004974,3.4864741567925566,0.4106782972690344,10.814573621847725,3
6.972409747882495,0.8383178025162175,0.040430731091187166,4.455995041854331,0.08072409747882489,3.956926890881284,13.362048739412478,0.997416530688989,3.447846344544064,0.5550873193323138,10.120256092426558,3
10.901938899362545,0.6257617832640109,0.5653739396913673,2.7429364116069093,0.07524099751224435,8.914127176786181,41.880885261992,1.0003780608458368,3.273268703354582,0.5622437655484727,9.186149626836654,3
6.720944742162243,0.7790829873033772,0.019534561285283483,1.8069815807207479,0.07937304420841372,5.976728064264174,11.930184192792522,0.9959711427996876,3.5488364032132087,0.62464745478076,9.972108338949035,3
7.262893696517787,0.9605191906718382,0.05,2.7679134626798314,0.06489616186563232,16.845964204011906,42.50639689061275,0.9972410974629334,3.326697836566996,0.5444340544776681,9.792765758705531,3
7.74286266666158,0.71772178378399,0.15247174414349796,1.88455643243202,0.1123862825223548,5.7181452252266,13.1274190990936,0.9969583062342295,3.440076637838374,0.63,9.513125099101229,3
7.1372098622001285,0.7422752758567516,0.07553746898217843,1.835449448286497,0.09241610896984206,5.881835172378343,12.472659310486625,0.9964017604139136,3.503915717227554,0.63,9.766844517186433,3
9.277927511847357,0.6554894251953773,0.3474664677211508,2.009021149609245,0.16300193417442638,5.3032628346358495,14.786948661456602,0.9983689063622381,3.278272505507981,0.63,8.870057393685567,3
9.361039970983676,0.9699254386235125,0.30818199492214315,2.1,0.17662339934713267,5.0,13.402599927459189,0.9976782948090587,3.2861594320948395,0.5446568547593733,9.32764288305029,3
11.452966416232464,0.5836758395941883,0.6391702422995991,2.1877472013527055,0.08943852629559133,9.387360067635264,43.20163241933864,1.0006284608189377,3.2389724812174348,0.5773516791883768,8.926483208116231,3
10.30184811463904,0.6276872121153005,0.4904454680344869,2.0940284175215544,0.07505971582478445,8.940284175215544,37.727486533136,0.9995283410102586,3.329478686858834,0.5858957373717668,9.251682508386308,3
7.358955720884545,1.097911441769091,0.04017404651924243,2.1,0.0759354492907515,17.05221395577273,41.13923721539394,0.9965999713305813,3.3473386232268787,0.5205221395577273,9.935822883538181,3
8.389696803199659,1.3064264646058328,0.13819694055994017,2.1,0.15476817807199225,5.0,10.974242007999145,0.9960686404167308,3.4041082453257556,0.4648679516914005,10.194913568571733,3
10.837009961747192,0.650975817511889,0.5517618782943691,2.1822560456220277,0.0716932859308636,11.774395437797228,47.354879087559446,1.000134601710826,3.2606463726267836,0.5664512091244055,9.124207680645807,3
7.250122950328171,0.9538145489222901,0.05,2.99778689409291,0.06623709021554194,15.760450777894592,40.27151630743004,0.9973068668058099,3.332444672352323,0.5425184425492258,9.824692624179571,3
7.737445360418029,0.8238112059058249,0.13499271472240382,5.004605061362151,0.10479350076646278,3.3863305214654718,14.386330521465473,0.9983349781441672,3.3536403374241432,0.5412481786806009,9.852302530681074,3
11.588606170400809,0.5802848457399797,0.6583858741401145,2.1990505142000676,0.07519635210791517,9.952525710003368,46.70565940202087,1.0007867071988008,3.2491454627800604,0.5705696914799595,8.994303085200404,3
8.95677954610142,0.7532777853111292,0.30169678291597013,4.255838130810007,0.07869905858470853,5.888323738379985,27.616383338077075,0.999202320081199,3.338107348463286,0.5406308838455713,9.704858787706288,3
10.000322231091031,0.7288072343171133,0.4330689676664023,2.162798191420722,0.06916376488469382,13.720180857927833,47.74403617158556,0.999404932178277,3.272321085147567,0.5625596382841443,9.260412660054948,3
7.211793519629001,1.0326288626768922,0.03882064803709984,4.895086658671189,0.09429728715919009,3.4471740785160065,12.882064803709984,0.9973376910296634,3.4223587039258003,0.4931695552890396,10.356510927480603,3
9.44575008729155,0.9405794340454273,0.3230062652760213,2.1,0.17852937696405985,5.0,13.614375218228876,0.997818671573226,3.275873203686026,0.5516151857418059,9.252008850632546,3
11.288407965216042,0.6004265889469484,0.6177619686181746,2.4423493603875235,0.07455394139517148,9.515301279224953,44.71499174491764,1.0006116599256416,3.260386401159465,0.5665378662801782,9.083091209275722,3
6.82742852334129,0.8761015434887304,0.017168255036860237,1.8424761744470965,0.0863536476412623,5.858412751843012,11.575238255529035,0.9958244318122853,3.5429206375921503,0.5974349329238927,10.084507885749138,3
7.042603583574989,0.885621313977496,0.03713017917874945,1.9713017917874947,0.06829289846537531,13.994083616749743,33.12722098712432,0.9965995562712562,3.4129585665700044,0.5843195221900015,9.807248506843754,3
9.627700310153642,0.702177704917146,0.3803832698282588,2.1,0.16537107842301813,8.736933983127539,24.221254762880587,0.9988145470093099,3.1973693398312757,0.6100696854233199,8.723867611871054,3
8.287279952562889,1.341906587862142,0.12027399169850567,2.1,0.15246379893266493,5.0,10.718199881407223,0.995898921064247,3.416544577188792,0.4564551389605231,10.286357185211706,3
11.135942590238303,0.6104215413066001,0.5970944400100812,2.560933540925764,0.07482499095068745,9.278132918148472,43.59691232841423,1.0005195030767662,3.26546858032539,0.5648438065582033,9.123748642603118,3
7.53851191994195,0.8462531074704722,0.10944272692546442,5.358935173378484,0.08122042325343645,3.6821296532430337,17.2157540795743,0.9983450560938315,3.385382936001935,0.5248723546660217,10.08306348801548,3
9.427414798474214,0.7821009489791428,0.3517960528068072,2.149474762755214,0.06743171915817786,15.052523724478572,48.01050474489571,0.9989053036033205,3.2803151423468715,0.5598949525510428,9.3536766607135,3
7.030582986443096,0.8550426086023903,0.04479372398323225,5.023184117820192,0.08130582986443088,3.5206276016767752,13.652914932215483,0.997719031529504,3.4260313800838387,0.5390896787281484,10.156614366526934,3
10.319801595877554,0.9000496010306117,0.4487672633197963,2.167995039896939,0.0941631248649285,8.399751994846941,34.83811516083675,0.998866900409775,3.3300124002576528,0.515591567824796,9.608094241958163,3
7.623877991661779,0.9413435945435942,0.09596977946167179,2.1,0.07552227123902813,18.432848427443005,45.55226654037462,0.9972955204130339,3.29432848427443,0.558358141720304,9.56418019704506,3
9.115634460177262,0.7131384448645532,0.3187512613569682,3.501126043442987,0.1540742019093687,4.221596642531674,15.221596642531674,0.9988862537840708,3.2534084028961994,0.587187815339242,9.100563021721493,3
6.709753886332269,0.7688868742138447,0.019783246970394033,1.8032512954440896,0.0786394214373376,5.989162348519701,11.967487045559105,0.9959865613121645,3.549458117425985,0.6275073401595314,9.960295768906283,3
11.486458371703115,0.582838540707422,0.6439149359912748,2.1905381976419265,0.08592187097117279,9.52690988209632,44.06684126899717,1.0006675347669869,3.241484377877734,0.5756770814148442,8.943229185851559,3
7.0377607041086945,0.7463069984820799,0.06290473808948277,1.8273860030358402,0.0891369745679083,5.908713323213867,12.365146707144534,0.9963103747010729,3.5143981960534076,0.63,9.808505650981493,3
9.346264995951632,0.6946181139614599,0.3495019994602174,3.2495290953254936,0.162320990764331,4.36137272481917,15.36137272481917,0.9989785059983806,3.2366352730216996,0.5948754998650544,8.974764547662748,3
11.540074360460967,0.5814981409884759,0.6515105343986369,2.1950061967050805,0.0802921921515986,9.750309835254026,45.451920978574954,1.000730086753871,3.2455055770345727,0.5729962819769516,8.970037180230483,3
7.738299988574843,1.5320889325294296,0.024202498000597483,2.1,0.14011174974293386,5.0,9.345749971437108,0.9949891828382097,3.483206429958769,0.4113603562043621,10.776517867343891,3
7.313281055938357,1.1757262888730833,0.028671894406164307,4.16437639724383,0.10546091615321918,3.8531242237534276,11.86718944061643,0.9966638137885693,3.4426562111876713,0.4688125465747943,10.4985934783137,3
10.84179534539624,0.5989551163650939,0.5525876739311342,2.1368162787830203,0.1536114887333947,6.840813939151004,27.413046422736222,0.9999154279029622,3.1931346509047183,0.607910232730188,8.62089767269812,3
9.671684255493226,0.7593782087913279,0.386448231593225,2.155155447802168,0.06817020821428184,14.484455219783197,47.89689104395664,0.9991183292925813,3.2769067313186993,0.5610310895604336,9.313911865384824,3
8.560806318301678,0.8627156913207742,0.2288585707358194,2.1293210771698066,0.06481174003207484,17.067892283019354,48.41357845660387,0.9981495403938677,3.292407353698116,0.5558642154339614,9.494752459811354,3
7.264332272684958,1.1067085044857907,0.0335667727315042,4.516807636668303,0.10007654999534528,3.657329090739832,12.35667727315042,0.9969888337093719,3.4328664545369914,0.48056025455561013,10.430065181758941,3
7.4362592280385185,1.3491255115343121,0.016374077196148078,3.2789335581226617,0.11898851508423702,4.345036912154077,10.637407719614808,0.9958472387258243,3.467251845607704,0.4392977852707554,10.670762919253926,3
7.151424717662608,0.9255223964762895,0.0425712358831304,2.025712358831304,0.06520963299955944,16.53324341212752,39.83785758919416,0.9967899932559096,3.369430112934957,0.5698100376449856,9.761906367640579,3
10.662105696766318,0.6414841821008747,0.5328632166727676,2.92947334695953,0.07566736765019319,8.54105330608094,40.12210844295301,1.0002330949989342,3.2812631434411226,0.5595789521862924,9.250105147528982,3
8.441527428821784,1.369618142794554,0.1388520257555944,2.1210381857205447,0.12374594299605682,6.0519092860272306,16.994510573806952,0.9960307064175209,3.4474045356986385,0.4357649157249258,10.500274471309652,3
11.189572536280894,0.6069058003993636,0.6043642771402989,2.5192213606704166,0.07472964882438951,9.361557278659168,43.99019859939322,1.0005519193997074,3.2636809154573037,0.5654396948475654,9.10944732365843,3
7.352789847648709,1.23143368518468,0.024721015235129075,3.879913096929293,0.10980688324135793,4.0111593905948375,11.472101523512908,0.9964014754116125,3.4505579695297417,0.4593304365643098,10.553905786708192,3
10.238835471953397,0.6658319972161449,0.4617962075918443,2.1,0.19637379811895142,5.0,15.59708867988349,0.9991329273535228,3.179569978405659,0.6167614851961718,8.543896900041611,3
8.913445311668328,0.7293748461842101,0.29179270822244363,3.721696023634552,0.14684440811420074,4.099057764647471,15.09905776464747,0.9988053781246673,3.2681130682423034,0.5804481770556109,9.210848011817276,3
6.876612200549351,0.8107760076579383,0.033245915041201314,3.5219689553561704,0.07976612200549346,4.675408495879869,12.883061002746754,0.9969183834428567,3.483770424793993,0.5814316448489285,10.060382625343344,3
7.605331177587651,0.8418727339136984,0.11850044851743724,5.3069646396540495,0.08110163346206631,3.7860707206919013,17.70576196897611,0.9983854446228974,3.383155627413745,0.5256147908620851,10.065245019309959,3
10.091065446026061,0.7203660050208315,0.44594184234323203,2.164908498744792,0.06943810483682297,13.509150125520787,47.70183002510416,0.9994840687029296,3.271054900753125,0.5629816997489584,9.245640508786455,3
11.073198426075773,0.6145347698461436,0.5885891199791604,2.609734557496621,0.07493653613142083,9.180530885006759,43.136788457889004,1.0004815777153169,3.267560052464141,0.5641466491786197,9.140480419713127,3
11.028033271788656,0.7229916820528358,0.5656254898451284,2.1857008317947164,0.08300847596932864,9.28504158973582,41.56631608199224,0.9999363302404007,3.285747920513209,0.5456914140510178,9.271684195900388,3
7.371546810484758,1.1230936209695166,0.038075531585873616,2.1,0.07912519198947209,16.42265947576208,39.46042526869889,0.996503859346633,3.3553129799736805,0.5142265947576209,9.986187241939033,3
10.072872253265043,0.961781936683739,0.4080239217887323,2.161821806331626,0.0980522620110755,8.091090316581305,32.492286406017925,0.9984940371024301,3.3454454841709347,0.5050970707637643,9.725385679699103,3
11.144947957447444,0.609831189456223,0.598315167565098,2.553929366429766,0.0748089814089823,9.292141267140469,43.662951687947924,1.000524946320946,3.2651684014184186,0.5649438661938605,9.121347211347349,3
11.238340733705511,0.6136427224459989,0.6086948482698515,2.1915893193885005,0.07290661152050502,10.841068061149974,47.16821361223,1.0004845994770686,3.2550464083669,0.5683178638777,9.058874764280498,3
8.796123474163519,1.2809691314591198,0.1973603732369808,2.129903086854088,0.11816105528192448,6.4951543427044,20.363173004553442,0.9965661464459868,3.42524228286478,0.4508352476519496,10.33184134977233,3
6.765486705727774,0.8196656652186387,0.01854473987271613,1.8218289019092582,0.08229301737548742,5.927236993635806,11.78171098090742,0.9959097738721084,3.5463618496817904,0.6132645085362355,10.019124856045984,3
7.510930029645178,1.4544113417997013,0.008906997035482186,2.7413037865547176,0.12720230326096948,4.643720118580712,9.890699703548218,0.995351424603156,3.4821860059290355,0.4213767928851573,10.775302041503249,3
10.424968908625985,0.8737577728435039,0.4661198699232875,2.1706242227156496,0.09250673968914071,8.531211135782481,35.83720463194686,0.9990257030520252,3.323439443210876,0.5200611786166043,9.558139768402658,3
10.131549023881732,0.6315574268701034,0.4542065365175641,2.392855610310839,0.19040084388425582,4.8373024387162005,15.8373024387162,0.9992926196095526,3.179523707354056,0.621051634129391,8.54642780515542,3
6.7339350856340765,0.7697563371197971,0.022545131422555757,2.1308670849322486,0.07833935085634076,5.7454868577444245,12.169675428170384,0.9961764624452972,3.537274342887221,0.6206678514506289,9.971209428521297,3
11.58396749420141,0.5804008126449647,0.6577287283451998,2.1986639578501177,0.0756834131088519,9.933197892505877,46.58582693353644,1.0007812954099016,3.2487975620651057,0.5708016252899294,8.991983747100706,3
7.487718761273164,1.3554375225463278,0.018713539787806016,2.1,0.1085554195225348,10.614061936341805,23.970831830244812,0.9956170801222815,3.428888548806337,0.4561406193634181,10.450875045092655,3
7.488807355879932,1.3576147117598656,0.018532107353344547,2.1,0.10883119682291623,10.559632206003364,23.825685882675636,0.9956087705167832,3.4295779920572906,0.45559632206003364,10.45522942351973,3
7.431519610531752,1.4264956451511521,0.0037440086548499486,2.043839870177251,0.12595517446819257,5.187200432742498,9.561601298227492,0.9949921285366007,3.509360021637125,0.4430560995307744,10.722159588894627,3
7.463529410110038,0.9604819736320277,0.07321062595110217,2.1,0.06833244774364364,19.20872866075788,47.259203053667335,0.9971739658431479,3.3020872866075788,0.5542201138092914,9.631423150599016,3
10.348203936144623,0.6120998404265694,0.4834204999967493,2.0958003191468615,0.19829212978639027,5.0139989361771296,15.944004255291484,0.9993524036169977,3.1654595851090805,0.63,8.42169835107455,3
9.709458918725037,0.8492231602988266,0.3691553107768814,2.1,0.1844628256713133,5.0,14.273647296812591,0.9982556747796014,3.24385141701196,0.5732769826095566,9.016554536852647,3
7.074244248681451,0.8972228911831985,0.03871221243407253,1.9871221243407253,0.06739641295402557,14.73236580256718,35.07839533535612,0.9966549274351926,3.4003023005274198,0.5801007668424732,9.794064896382729,3
10.124447634894393,0.6321276899251472,0.4532596846525857,2.4006025801152076,0.19014691542955708,4.8329985666026625,15.832998566602662,0.9992897790539577,3.1800401720076805,0.6208149211631464,8.550301290057604,3
9.709155439375055,0.6924556411068483,0.3919446430080722,2.1,0.16902342131391374,8.342796261088449,23.354151774394587,0.9988762952524295,3.1934279626108846,0.6121717532741949,8.689709009294333,3
7.467521274920741,1.315042549841483,0.02207978751320975,2.1,0.10343872297992113,11.623936253962924,26.6638300105678,0.995771254268105,3.416096807449803,0.4662393625396293,10.370085099682965,3
8.778687845310184,0.6836400383355442,0.29150208591806487,1.9696888036987907,0.0763031119630121,7.696888036987906,26.84777032364417,0.9980362656443854,3.422733397225907,0.6045466794451814,9.546989091215373,3
7.158863513035794,0.7431437893170525,0.07993319353936901,1.8374582459621056,0.07762541754037894,6.374582459621056,15.277596521684242,0.9964494989515452,3.5219063155284207,0.6243812631056842,9.861036665839999,3
6.766718489383691,0.7844634461073533,0.02333592446918454,1.8333592446918454,0.07610964280079542,7.556764752286119,16.1143068453276,0.9961167573564215,3.5233126042465237,0.6211042014155079,9.922200629423461,3
9.629499582836562,1.072625104290859,0.33486743116803297,2.1507374895709144,0.10503538157032408,7.5368744785457045,28.280246036947354,0.9978245443700832,3.3731562760727147,0.4862537322705539,9.935987698152633,3
7.1056768223837095,0.8830043195610304,0.04943231776162905,5.6591268788372915,0.08262445046220795,3.0227072895348384,13.943231776162905,0.9980423058993722,3.4011353644767417,0.5186375626279097,10.207947551337192,3
8.853419881419384,0.7341950701284434,0.2837893175225844,3.7871783111788546,0.14469804424469307,4.062678716011748,15.062678716011748,0.9987813679525677,3.2724785540785906,0.5784473293806461,9.243589155589428,3
7.7576491719091445,1.5253858225886179,0.027588605084100302,2.1,0.14054710636795567,5.0,9.39412292977286,0.9950212471991637,3.4808568862681755,0.4129497534068226,10.759241810795407,3
7.564354625119578,1.5087092502391568,0.005940895813403596,2.1,0.12796983836362644,6.782268744021079,13.752716650722878,0.9950320930282539,3.477424595909066,0.41782268744021084,10.757418500478314,3
7.494226377900605,1.4836284776427742,0.002350524935542098,2.064742125966869,0.13006595144015073,5.117526246777105,9.352578740331314,0.9949057325460036,3.5058763123388554,0.42703103675873416,10.788350065561751,3
9.88113048036871,0.6431421456191085,0.4354945933542807,2.0596841208464256,0.07540315879153574,8.596841208464255,34.72236057406222,0.999116209450157,3.355236909365181,0.5910473818730362,9.33325021298974,3
7.944380091599426,0.7142880782677762,0.18253127727012913,1.9015820482938308,0.0769841795170617,7.015820482938307,20.888429225710183,0.997218984579526,3.473813463779627,0.6147626927559254,9.708742635302151,3
9.233432542272046,1.0141322978557552,0.2858506948976082,2.1,0.17375223220112102,5.0,13.083581355680117,0.9974668310700507,3.301654619866966,0.5341748159723467,9.441578087257101,3
7.224830590034012,0.8649757253457536,0.06664407867120153,5.563821174508352,0.08646363928000396,3.075654903050916,14.075654903050916,0.9981299322360135,3.39092141163389,0.5241610196678004,10.131910587254175,3
6.849948231809481,0.803110116645226,0.031246117385711123,3.261995260142446,0.07949948231809478,4.875388261428888,12.749741159047408,0.9967797308054093,3.493769413071444,0.5887642362523926,10.043717644880925,3
7.128572748230884,0.9171433410179907,0.04142863741154418,2.014286374115442,0.06585710546679163,16.00003079205395,38.428652807571154,0.996750002309404,3.3785709007076465,0.572856966902549,9.771428021570465,3
9.96637712302522,0.644821231029793,0.4321836164033625,2.573043138517943,0.1844946971263563,4.737198256378921,15.737198256378921,0.9992265508492101,3.19153620923453,0.6155459041008406,8.63652156925897,3
7.5273046025219745,0.7264606242220821,0.12509004410414273,1.8670787515558358,0.10527869229937323,5.7764041614805475,12.89438335407781,0.9967602258509661,3.4627976229774133,0.63,9.603426450294847,3
10.444132952671266,0.6088966761832183,0.4962521682950961,2.103677746055939,0.195366039969517,5.183887302796943,17.14010127734105,0.999451488444783,3.163309971450345,0.6277933523664366,8.422066476335633,3
10.36232112846157,0.614497155635232,0.4846520311364808,2.1,0.19831052801811555,5.182317120347245,16.401097664763938,0.9993714369844788,3.161823171203473,0.6290276420248146,8.41580081709676,3
10.315660714781389,0.6392175380935902,0.47524062508674314,2.1,0.19810236608258125,5.0,15.789151786953473,0.9992602377559234,3.170241198919403,0.623072130142757,8.475302933230903,3
6.725895947170346,0.7694951806291268,0.021294797358517283,1.8129479735851728,0.0772662814968402,6.604238767308066,13.596916742171317,0.9960453179075481,3.5396416211318615,0.626547207043954,9.939210022012356,3
7.278228622739614,0.9685700269382974,0.05,2.491884790686944,0.0632859946123405,18.149432932867207,45.19000897943249,0.9971621225928909,3.319797119767174,0.5467342934109422,9.754428443150964,3
6.88891955636548,0.8143143724550755,0.034168966727411,3.6419656745634303,0.07988919556365476,4.5831033272588995,12.944597781827401,0.9969823816931005,3.4791551663629448,0.578047121999493,10.068074722728424,3
6.726030254358589,0.7589447194178951,0.02330654582392888,1.8021105611642099,0.07885829487344535,5.9929647961193,12.028140815522798,0.9960239196931944,3.547256270486527,0.63,9.939095433984916,3
6.973047289520976,0.7489305152896901,0.05468438542563746,1.8221389694206198,0.08700318089771866,5.926203435264601,12.295186258941595,0.9962509083201003,3.5212193397531943,0.63,9.83561532466013,3
8.749260852284888,0.6769218573398019,0.2803115136686208,1.9661562853203962,0.14557022269696113,5.446145715598679,14.215417137605282,0.9978831045669645,3.333996829083485,0.63,9.091525859177953,3
7.1153487321904505,0.8966417123885352,0.04846512678095495,5.589489128228756,0.08368836054094947,3.061394928761802,13.846512678095495,0.9979780844182554,3.40306974643809,0.5163163042742919,10.22148822506663,3
7.338451077914925,1.211216019860045,0.026154892208507443,3.9831522390125356,0.10822961857064171,3.9538043116597024,11.615489220850744,0.9964966848426449,3.447690215582985,0.46277174130041787,10.533831509080896,3
7.488819591440579,1.3576391828811576,0.018530068093236873,2.1,0.10883429649827989,10.559020427971062,23.8240544745895,0.9956086771186702,3.4295857412457,0.45559020427971064,10.455278365762315,3
7.1174492133907705,0.9130647115766157,0.04087246066953852,2.0087246066953854,0.06617227228726151,15.74048164578464,37.74270149243084,0.9967305361234339,3.3830203146436917,0.5743401048812307,9.776062827753845,3
6.972724638860664,0.8599990342489101,0.033636231943033196,1.936362319430332,0.07027280189894786,12.363574906748825,28.81801939640761,0.9964772681180062,3.440910144455734,0.5936367148185782,9.836364733808056,3
7.035197727924343,1.065402374331068,0.012551161601681269,1.911732575974781,0.09997407327504021,5.627558080084063,10.88267424025219,0.9955381720193043,3.531377904004203,0.5443383584193346,10.30381982392014,3
7.22588288073079,1.2391377357769422,0.008313713761537996,1.9752942935769302,0.11247454440346286,5.4156856880769,10.247057064230699,0.9952754502532153,3.520784284403845,0.49560770825768696,10.505098596326945,3
7.550579005245494,1.5103163973961473,0.004942099475450552,2.45583116223244,0.1315636905770043,4.802316020981978,9.494209947545055,0.9950881554051699,3.490115801049099,0.4118610387410814,10.830810607343693,3
6.868151607263394,0.7531830429487814,0.0413597987604852,1.8136339141024374,0.08354445840165786,5.954553619658542,12.181785521365832,0.996154517693161,3.532275911666831,0.63,9.87955811047074,3
7.156192637918446,0.9045011349071842,0.05,4.688532517467971,0.07609977301856309,7.776374223067916,23.83371163572806,0.99779060791472,3.374713312936699,0.528428895687767,10.059518405203884,3
7.263642102547356,0.8618590432802881,0.07181894700631414,5.521481342675612,0.08785144487896598,3.0991770318468825,14.099177031846882,0.998145456841019,3.388098756178374,0.5254547367515785,10.110740671337805,3
7.234158270334549,0.9558580324560015,0.04670791351672749,2.067079135167275,0.06286551567385443,18.463692974472828,44.939760003963904,0.9969347769730854,3.33633669186618,0.5587788972887268,9.72743405402727,3
9.640675963021433,0.7622627011142852,0.38204938080071515,2.154434324721429,0.06807646221378573,14.55656752785713,47.91131350557143,0.9990912871770535,3.277339405167143,0.5608868649442857,9.318959726949998,3
8.933429829453392,0.8280530391206147,0.28171911534106264,2.1379867402198465,0.06593827622858002,16.20132597801537,48.24026519560307,0.9984745027582442,3.2872079558680922,0.5575973480439693,9.434092818461075,3
7.155476236596226,0.9041250242130189,0.05,4.701427741267922,0.07617499515739615,7.715480110679255,23.70834140433964,0.9977942973815294,3.375035693531698,0.528321435489434,10.061309408509432,3
6.775248463889505,0.7816339333682325,0.02564363479171284,2.5336725229226693,0.07875248463889503,5.435636520828716,12.376242319447522,0.9963912920122254,3.5217818260414355,0.6093066724303863,9.99703028993094,3
6.978219042963989,0.8620136490867961,0.03391095214819947,1.9391095214819947,0.0701171271160203,12.49177766915975,29.15684098277934,0.996486883325187,3.4387123828144044,0.5929041276048015,9.834075398765004,3
7.17067044560521,0.9121019839427356,0.05,4.42793197910621,0.07457960321145284,9.006987876442897,26.36732798091185,0.9977160472051332,3.368198299477655,0.5306005668407816,10.023323885986972,3
7.475096833555261,1.3301936671105232,0.0208171944074564,2.1,0.10535786450066623,11.245158322236918,25.653755525965117,0.9957134275038615,3.4208946612516655,0.46245158322236923,10.400387334221046,3
7.817656983501958,1.5045974021439648,0.03808997211284257,2.1,0.14189728212879396,5.0,9.544142458754894,0.9951206887155175,3.473570223431905,0.41787896650194656,10.705663407587538,3
11.5692737691994,0.580768155770015,0.6556471173032483,2.197439480766617,0.07722625423406303,9.871974038330833,46.20623903765116,1.0007641527307325,3.247695532689955,0.5715363115400299,8.9846368845997,3
7.1620516498417865,0.8709321696214829,0.05841144586744229,5.65173760567861,0.08188968595583673,3.09652478864278,14.455045432173108,0.9981175067750154,3.3979316116719405,0.5206894627760199,10.183452893375524,3
8.09606634373484,0.7950128542152325,0.18280884583131213,4.613382170471082,0.11761691774567001,3.6036765719605097,14.60367657196051,0.9984784265374939,3.3275588113647387,0.5532022114578281,9.65669108523554,3
8.416443444526754,0.690414454951618,0.2380347078182634,1.939171090096764,0.13459624330601733,5.53609636634412,13.855614534623518,0.99757727235443,3.369077582874207,0.63,9.230949367833386,3
9.533322674398283,0.9102417877977379,0.3383314680196994,2.1,0.18049976017396133,5.0,13.833306685995705,0.9979637918604314,3.2652393895373515,0.5588086482541447,9.17381904071582,3
7.025518007882779,0.8535864272662991,0.04441385059120846,4.9738005768571005,0.08125518007882772,3.558614940879154,13.627590039413898,0.9976926936409904,3.4279307470439577,0.5404825478322357,10.153448754926737,3
11.221677407064655,0.5894580648233836,0.6064042993341595,2.168473117255388,0.11372387225821122,8.423655862769397,37.22666634917026,1.0003586236415754,3.221625805529849,0.5889161296467672,8.810838703532328,3
